"HGNC.symbol","GSM3440208","GSM3440209","GSM3440210","GSM3440211","GSM3440212","GSM3440213","GSM3440215","GSM3440216","GSM3440218","GSM3440219","GSM3440220","GSM3440221","GSM3440225"
"MIR933",5.815735,6.139195,5.700695,6.006655,5.82135,5.77121,5.882875,5.65928,5.91679,5.680415,5.75637,5.72476,5.799805
"MIR934",2.76319,2.62239,2.45299,2.39104,2.29101,1.78746,2.39825,2.36892,2.37568,2.4234,2.68945,2.37298,2.81956
"MIR935",4.270725,4.46963,4.471695,4.40053,4.299505,4.22279,4.601305,4.45299,4.622405,4.46074,4.58816,3.81163,4.62305
"MIR938",4.70987,3.41522,4.32336,3.43919,4.4444,3.5833,4.27938,4.83422,4.57705,4.30649,4.30395,4.32487,3.68239
"MIR941-1",6.97251333333333,6.54767666666667,6.35245666666667,6.71685333333333,6.63485666666667,6.56131333333333,6.63382,6.39598,6.94203333333333,6.78293333333333,6.70570333333333,6.70446666666667,6.69233666666667
"MIR941-2",6.97251333333333,6.54767666666667,6.35245666666667,6.71685333333333,6.63485666666667,6.56131333333333,6.63382,6.39598,6.94203333333333,6.78293333333333,6.70570333333333,6.70446666666667,6.69233666666667
"MIR941-3",6.97251333333333,6.54767666666667,6.35245666666667,6.71685333333333,6.63485666666667,6.56131333333333,6.63382,6.39598,6.94203333333333,6.78293333333333,6.70570333333333,6.70446666666667,6.69233666666667
"MIR941-4",6.97251333333333,6.54767666666667,6.35245666666667,6.71685333333333,6.63485666666667,6.56131333333333,6.63382,6.39598,6.94203333333333,6.78293333333333,6.70570333333333,6.70446666666667,6.69233666666667
"MIR941-5",6.97251333333333,6.54767666666667,6.35245666666667,6.71685333333333,6.63485666666667,6.56131333333333,6.63382,6.39598,6.94203333333333,6.78293333333333,6.70570333333333,6.70446666666667,6.69233666666667
"MIR942",3.14337,3.25102,3.4469,2.81184,3.39596,3.42755,3.38096,2.35631,3.38189,3.65872,3.11457,3.31254,2.87808
"MIR944",1.19321,1.44556,0.989317,1.15264,0.909906,0.686292,0.836365,1.82253,1.18643,1.41612,1.0752,1.16921,1.0636
