"HGNC.symbol","GSM3440214","GSM3440217","GSM3440222","GSM3440223","GSM3440224"
"ZBTB3",4.63759,4.49677,4.14575,4.14486,4.43779
"ZBTB45",5.0891,5.0609,4.8038,4.74623,4.98179
"ZBTB8A",2.78609,2.78234,3.01106,2.69896,2.87373
"ZBTB8B",4.06998,4.05145,4.05297,4.00539,4.20156
"ZBTB8OS",4.20425,3.83858,3.93639,3.79873,3.86945
"ZC2HC1B",2.91918,3.26677,3.23545,3.23851,3.11913
"ZC3H7B",5.81032,5.61491,5.75736,5.96204,6.05592
"ZCCHC12",3.3181,3.72566,3.59771,3.44965,3.48715
"ZCCHC17",6.09438,5.69113,6.17461,6.07158,5.71354
"ZCRB1",6.05178,5.73838,6.08056,5.90745,5.62792
"ZDHHC1",4.7232,4.78773,4.79396,4.75989,4.70311
"ZDHHC18",9.22009,9.29697,9.24819,8.58998,9.04378
"ZDHHC22",3.39183,3.605,3.27092,3.80946,3.70538
"ZFAND2B",5.31977,5.14227,5.11789,5.11938,5.09473
"ZFP28",4.04046,4.12368,4.56563,4.04207,4.17067
"ZGLP1",5.06047,5.091615,5.20907,5.032855,5.122915
"ZIC2",3.92185,3.84106,4.13963,3.77275,4.2243
"ZIC5",4.5021,4.67115,4.28344,4.6495,4.26885
"ZIK1",4.75862,4.14533,4.58072,4.48274,4.7153
"ZIM2",4.00923,4.24321,4.00942,4.31168,4.2282
"ZIM3",2.01348,2.10402,1.46061,2.03499,1.81972
"ZKSCAN2",4.88395,4.69148,4.74478,4.68314,4.52028
"ZMPSTE24",6.90849,6.61867,6.85304,6.49144,6.61417
"ZMYND15",4.50146,5.08454,4.90339,4.71213,4.96196
"ZNF101",6.81969,6.62937,6.8483,7.30198,7.16728
"ZNF132",4.85239,4.6168,4.22064,4.12126,4.46346
"ZNF134",5.64002,6.13501,6.00848,5.86363,5.79381
"ZNF137P",3.79272,3.94888,4.46166,4.10083,4.31814
"ZNF14",3.98845,4.2127,4.6623,4.71709,4.64172
"ZNF141",5.15897,5.17393,5.29149,5.65654,5.36465
"ZNF146",6.17885,5.81292,6.3353,6.30872,6.19809
"ZNF154",4.74266,4.96991,5.08024,4.991,5.29189
"ZNF160",5.8289,5.52993,6.03435,5.88301,5.93004
"ZNF17",4.62383,4.67128,4.86662,5.01407,4.2455
"ZNF182",5.92433,5.72447,5.67351,5.31643,5.59394
"ZNF205",4.35922,4.17321,4.62876,4.33745,4.85946
"ZNF211",5.0024,4.93878,4.94941,4.8066,4.84677
"ZNF213",5.4536,5.72661,5.39506,5.42165,5.28492
"ZNF213-AS1",4.59627,4.587475,4.58536,4.673755,4.533385
"ZNF236",6.31215,6.14724,6.17708,6.19907,5.90987
"ZNF236-DT",4.97031,5.21299,5.17034,5.40681,5.21512
"ZNF253",5.10346,5.04669,5.05405,5.23117,4.85138
"ZNF264",5.10333,5.156595,5.08404,5.063895,4.891945
"ZNF267",5.7525,5.94236,6.19862,5.346,5.70811
"ZNF304",5.15264,5.0609,5.37729,5.27201,5.48701
"ZNF320",5.1047,4.06081,4.53909,4.8228,3.97145
"ZNF322",4.236625,3.917515,4.447425,3.994255,4.12451
"ZNF324",5.39962,5.1295,5.38063,5.52446,5.17014
"ZNF324B",5.1059,5.11588,5.14445,4.97454,5.05942
"ZNF341",5.1536,5.28463,5.13482,5.03637,5.03213
"ZNF341-AS1",4.12842,4.69535,4.56312,4.56627,4.78622
"ZNF343",4.82456,4.66129,4.86733,4.50742,4.76256
"ZNF347",4.60995,4.34647,4.63334,4.36402,4.29603
"ZNF384",7.45512,7.32198,7.31761,7.12207,7.27907
"ZNF385C",4.95112166666667,5.132295,4.85484166666667,5.21423833333333,5.16575
"ZNF407",5.92365,5.78763,5.7426,6.05553,5.96011
"ZNF415",3.73488,4.2609,3.96197,3.87608,3.97207
"ZNF416",4.11792,4.52043,4.69256,4.56216,4.83922
"ZNF419",4.72489,4.39409,4.79463,4.50221,4.83676
"ZNF430",3.498,3.68087,4.26114,3.87527,4.3887
"ZNF446",4.5766,4.94096,5.02683,5.11919,4.81451
"ZNF460",6.68872,6.29799,6.71342,6.54432,6.58902
"ZNF462",2.57794,2.33605,2.61736,2.65958,2.85599
"ZNF468",5.78847,5.21924,5.619555,5.69306,5.26897
"ZNF470",3.93984,4.10522,4.21376,4.33387,4.08613
"ZNF471",3.31806,3.50371,3.36058,2.95627,3.55338
"ZNF474",2.99189,3.09122,2.88108,3.5145,2.99798
"ZNF480",4.48476,3.83144,4.70728,4.8688,4.99821
"ZNF497",4.57299,4.96992,4.75281,5.14719,4.05483
"ZNF506",5.26302,5.15239,5.0979,5.27789,5.53261
"ZNF511",5.28148,4.96725,5.2046,5.2994,5.18006
"ZNF511-PRAP1",5.419815,5.30044,5.33629,5.383895,5.35137
"ZNF512",6.56465,6.01348,6.38518,6.67719,6.56545
"ZNF513",6.06928,6.2613,6.23949,6.00623,5.95979
"ZNF516",6.558,6.64033,6.57786,5.78094,6.72952
"ZNF528",5.38874,5.61487,5.20684,5.60225,4.90846
"ZNF528-AS1",4.65416,4.92324,4.72384,4.78466,4.9637
"ZNF530",3.99324,4.66239,4.18694,4.61817,4.04471
"ZNF534",5.04648,4.92451,5.56973,5.27382,5.07803
"ZNF541",3.6559,3.54746,3.61197,3.84363,3.8044
"ZNF543",4.74524,5.09494,5.12606,4.84502,5.26916
"ZNF546",4.67473,5.25624,5.11299,5.21568,5.28488
"ZNF547",4.44602,4.52242,5.02916,4.99987,5.10246
"ZNF548",5.65082,5.53719,5.52998,5.95257,6.09171
"ZNF549",4.37827,4.56925,4.6169,4.7259,4.37541
"ZNF550",4.94473,4.56432,4.62302,4.70593,4.66663
"ZNF551",4.77486,4.80341,4.84802,5.37101,4.85884
"ZNF554",4.04153,4.25506,3.41395,3.98837,4.09194
"ZNF555",4.26174,4.0768,4.59526,4.25133,4.36593
"ZNF556",3.07089,2.93694,3.26199,3.37346,3.30678
"ZNF565",4.55496,4.45806,4.67883,4.76905,4.85336
"ZNF57",4.09355,4.38596,4.33109,4.05999,4.08089
"ZNF578",2.76894,2.66444,2.53708,2.70083,2.33515
"ZNF582-AS1",4.18226,4.1737,4.50955,4.18451,4.06106
"ZNF583",3.9032,3.82639,4.10393,3.79588,4.01208
"ZNF584",4.73286,4.46238,4.28577,4.73947,4.40596
"ZNF593",4.54289,4.39466,4.56997,4.49602,4.62718
"ZNF600",5.1819,4.92717,5.21937,5.16515,5.07852
"ZNF610",3.88571,4.12914,4.14328,3.99712,4.02855
"ZNF611",6.35962,6.04314,6.35778,6.22878,6.04931
"ZNF623",5.47539,5.67735,5.4752,5.71784,5.69104
"ZNF630",4.3516525,4.3748425,4.523735,4.5063125,4.4872675
